src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,pkt_count,pkt_size_avg,bytes_sent,bytes_received,conn_count_last_10s,same_dst_count,srv_serror_rate,dst_host_srv_count,dst_host_same_srv_rate,is_malicious,attack_type,country_src,country_dst,entropy,flow_id,honeypot_flag
78.137.151.18,48.52.18.203,11273,389,ICMP,1895,375,662,24095,30602,7,26,0.84,31,0.13,0,Normal,China,China,0.183,77,0
15.146.202.98,18.37.50.3,5385,716,UDP,755,697,1257,42234,4052,22,19,0.76,22,0.95,0,Normal,USA,USA,0.568,78,0
27.255.134.104,69.176.86.227,44080,1080,UDP,6646,334,1371,1215,8887,49,5,0.79,46,0.75,0,Normal,Germany,India,0.313,79,0
28.88.43.38,200.55.160.163,62315,1927,ICMP,1327,927,91,34840,45464,40,2,0.96,15,0.76,0,Normal,Germany,Russia,0.782,80,0
18.86.216.112,193.1.28.143,57760,706,TCP,9928,348,1016,19620,23561,8,19,0.01,3,0.07,0,Normal,Germany,Russia,0.587,81,0
31.74.166.122,117.184.60.99,52304,616,TCP,6420,441,893,15075,19089,31,1,0.81,13,0.25,0,Normal,China,China,0.388,82,0
67.193.88.167,196.214.108.102,2456,5417,UDP,4588,467,405,38435,31512,20,8,0.28,23,0.65,0,Botnet,Germany,UK,0.368,83,0
234.175.223.119,252.113.100.110,14167,1861,ICMP,919,644,830,28866,5242,45,29,0.39,29,0.72,1,Normal,Germany,Russia,0.293,84,0
57.145.55.51,166.242.25.22,24922,3164,TCP,9274,419,1024,7461,36402,41,3,0.9,30,0.21,1,Normal,USA,Germany,0.627,85,0
75.189.1.205,5.213.57.185,4183,7805,ICMP,9755,676,73,44319,46814,49,19,0.59,6,0.1,0,Normal,China,Germany,0.568,86,0
244.139.174.31,118.99.153.237,6709,4509,TCP,2813,567,1113,37429,3219,11,29,0.46,35,0.6,1,Normal,Germany,India,0.549,87,0
139.83.247.230,121.96.245.252,23281,6148,TCP,5206,13,647,17711,32765,7,11,0.49,44,0.37,0,Normal,Germany,UK,0.44,88,0
254.93.141.124,3.20.156.200,45880,7650,ICMP,1017,396,547,42776,27534,33,22,0.16,8,0.63,0,Normal,Russia,Russia,0.583,89,0
11.26.137.227,25.31.126.179,42063,5427,ICMP,1091,442,282,30131,5020,14,4,0.34,35,0.28,0,Normal,USA,USA,0.866,90,0
42.149.113.1,4.147.244.26,57379,7542,ICMP,1220,866,833,19488,49876,3,8,0.08,39,0.06,0,Normal,Russia,Russia,0.984,91,0
79.32.141.37,97.238.143.159,36497,7870,ICMP,1779,755,947,38843,16895,42,11,0.84,49,0.28,0,Normal,China,China,0.13,92,1
183.178.138.91,140.177.214.15,49190,7566,TCP,6626,955,1252,24748,47353,28,6,0.41,47,0.2,1,Normal,India,China,0.906,93,0
237.129.250.49,7.24.74.20,6271,1749,ICMP,8268,816,1047,41312,27931,32,27,0.31,7,0.15,1,DoS,Russia,Germany,0.749,94,0
214.96.177.229,80.125.123.243,65126,6406,TCP,4233,948,404,36258,47190,41,8,0.81,2,0.4,1,Normal,India,China,0.754,95,0
66.116.217.16,96.136.91.241,1217,5761,TCP,6532,801,61,17347,3730,36,5,0.97,48,0.58,0,Normal,India,UK,0.605,96,0
188.3.186.131,49.151.8.102,55518,5363,TCP,6142,415,1052,26472,17162,31,7,0.05,31,0.38,0,Normal,China,India,0.681,97,0
72.85.223.95,216.209.182.176,9612,4483,TCP,8622,569,461,16918,32479,8,19,0.3,8,0.9,0,Normal,Russia,USA,0.111,98,0
34.50.4.165,128.47.43.47,51800,4217,TCP,1850,117,707,46275,6072,14,12,0.81,41,0.72,0,Normal,UK,India,0.701,99,0
174.90.172.209,140.142.48.183,5873,5866,UDP,1774,184,1363,37348,14452,37,16,0.93,39,0.13,0,Botnet,India,China,0.702,100,0
13.191.209.185,181.134.156.80,54837,5984,UDP,9296,304,285,49653,34682,10,9,0.05,49,0.81,0,Normal,Russia,Germany,0.278,101,0
214.103.150.117,175.31.151.172,51858,3337,ICMP,5761,905,426,23210,33749,4,7,0.95,1,0.11,0,DDoS,USA,USA,0.423,102,0
206.184.208.206,136.216.150.164,4231,2577,TCP,9316,281,197,37282,15817,37,17,0.71,25,0.53,0,SQL Injection,Germany,India,0.964,103,1
53.46.108.242,157.169.30.252,34892,4727,TCP,744,905,1164,42865,49245,41,16,0.96,41,0.42,0,Normal,China,China,0.812,104,0
54.5.219.245,96.218.159.166,8646,6854,ICMP,5325,134,268,3855,21616,4,25,0.16,4,0.85,0,Normal,USA,Germany,0.835,105,0
243.101.201.4,200.228.244.113,29891,3221,TCP,9865,172,539,21284,4803,47,18,0.61,32,0.25,0,Normal,China,UK,0.594,106,0
55.69.146.50,42.150.193.135,29046,3127,ICMP,71,732,1257,4321,36322,40,20,0.57,17,0.25,1,Normal,Germany,China,0.452,107,0
86.172.235.237,141.71.83.84,45164,5529,UDP,696,774,215,12239,48322,39,20,0.01,3,0.08,0,Normal,UK,China,0.562,108,0
194.224.10.164,78.122.221.254,47409,369,UDP,398,958,902,4876,46973,27,23,0.66,33,0.67,0,Normal,China,UK,0.576,109,0
142.42.58.143,77.171.213.201,51681,3085,TCP,526,394,106,26346,34701,48,11,0.13,40,0.74,0,Normal,Russia,Germany,0.787,110,0
13.38.117.211,17.114.203.5,51912,4024,UDP,4126,138,191,2817,44224,21,17,0.53,40,0.93,1,Normal,Germany,China,0.173,111,0
121.16.106.197,227.163.2.74,49670,1291,ICMP,1284,731,1276,8644,22181,32,23,0.82,42,0.62,0,Normal,Russia,Russia,0.251,112,0
215.64.130.158,110.102.224.196,38911,6849,ICMP,7333,112,331,4636,2350,22,18,0.48,22,0.74,0,Normal,Russia,USA,0.315,113,0
137.129.133.183,224.236.195.97,12789,1672,UDP,4774,590,846,635,33929,19,26,0.44,26,0.46,0,Normal,India,Russia,0.986,114,0
104.45.115.164,28.42.195.204,43865,1011,UDP,1911,871,631,27995,7175,21,11,0.08,28,0.3,1,Normal,China,USA,0.953,115,0
56.142.7.43,134.249.190.199,47377,873,TCP,6318,112,1041,10757,45993,47,19,0.01,32,0.32,0,Normal,Germany,Russia,0.151,116,0
228.249.173.135,217.1.58.180,57705,26,ICMP,9886,313,386,13123,44494,2,23,0.48,48,1,0,Normal,USA,Germany,0.812,117,0
180.124.194.96,186.255.107.110,48827,2756,ICMP,1398,503,1389,15145,4384,28,8,0.74,13,0.05,0,Normal,Germany,Russia,0.294,118,0
77.183.91.82,155.41.2.151,29825,3783,UDP,4657,365,108,48068,34265,17,20,0.11,23,0.53,0,Normal,China,USA,0.628,119,0
67.212.248.203,50.25.62.194,33619,684,ICMP,7973,383,247,13721,21430,18,19,0.16,18,0.13,0,Normal,Germany,Germany,0.545,120,0
105.103.247.24,48.174.119.83,51971,1365,UDP,1297,134,1045,42995,48347,49,18,0.63,17,0.75,1,Normal,India,Germany,0.255,121,0
61.42.212.21,37.242.210.163,45475,5797,TCP,2320,236,145,42887,22364,38,28,0.37,1,0.85,0,Normal,Germany,USA,0.156,122,0
74.109.122.230,69.84.10.133,1181,5396,TCP,4473,603,1205,43507,23012,13,14,0.13,41,0.21,0,Normal,Germany,China,0.415,123,0
211.189.44.251,8.57.210.81,16063,5187,ICMP,8414,391,896,9148,27352,7,9,0.94,23,0.79,0,Normal,UK,India,0.818,124,0
19.119.169.42,226.8.88.170,4372,6620,UDP,77,598,1073,47671,25222,14,18,0.63,42,0.82,1,Normal,Russia,Germany,0.779,125,0
62.208.182.75,156.183.178.192,43377,3898,ICMP,5046,426,1330,43704,21264,48,18,0.09,37,0.61,0,SQL Injection,India,USA,0.505,126,0
112.254.164.48,5.66.152.120,50020,5409,TCP,4348,106,975,43949,4349,9,1,0.43,5,0.02,0,Normal,China,Germany,0.665,127,0
98.169.172.97,71.204.75.110,8416,1300,TCP,551,330,1176,4464,17298,36,17,0.41,5,0.12,0,Normal,USA,Germany,0.59,128,0
104.241.184.150,69.212.30.159,26672,8060,UDP,3527,797,105,43141,20745,21,8,0.36,21,0.74,0,Normal,China,USA,0.652,129,0
21.154.10.17,199.97.213.47,56838,3924,ICMP,5771,159,1304,22535,18459,6,21,0.43,44,0.63,1,Normal,USA,China,0.756,130,0
35.248.108.23,194.104.38.230,59024,3739,TCP,2062,434,289,37974,12673,39,14,0.9,34,0.71,1,Normal,Germany,Germany,0.822,131,0
88.230.28.25,3.142.188.251,28583,4450,TCP,4443,530,1161,4582,24141,34,10,0.38,32,0.49,0,Normal,USA,USA,0.415,132,0
161.42.87.183,100.179.75.62,2642,1041,UDP,6801,633,152,6731,819,6,5,0.76,35,0.66,1,Normal,Germany,USA,0.113,133,0
14.66.131.72,107.50.99.118,25645,2729,TCP,7622,94,461,19530,16042,7,15,0.44,39,0.09,0,Normal,Germany,India,0.582,134,0
169.187.102.95,74.49.240.110,3199,7170,ICMP,3093,979,117,7171,13471,15,14,0.3,31,0.51,0,Normal,Russia,UK,0.896,135,0
163.57.175.140,142.137.187.37,34773,1418,UDP,5324,348,494,23116,8260,26,10,0.72,14,0.05,0,Normal,China,UK,0.277,136,0
226.8.115.46,85.31.243.89,2293,1997,ICMP,9940,544,461,15120,17521,39,1,0.09,4,0.24,0,Normal,USA,Russia,0.356,137,0
193.240.157.17,146.55.190.106,17927,6829,UDP,5733,736,408,14311,3825,26,27,0.65,3,0.15,0,DoS,India,USA,0.27,138,0
189.154.56.31,171.12.110.159,35804,1582,TCP,4980,348,466,21529,33685,19,13,0.83,27,0.86,0,Normal,Russia,Germany,0.203,139,0
159.36.23.185,170.166.110.251,58084,3728,ICMP,6472,767,403,33127,41974,25,17,0.56,38,1,0,Normal,India,USA,0.208,140,0
204.116.41.193,92.114.173.10,27908,7789,TCP,8517,634,729,33956,28072,29,22,0.69,33,0.84,0,DDoS,Germany,UK,0.855,141,0
247.243.192.164,96.16.70.144,21930,5677,UDP,7627,183,220,26950,23936,11,27,0.98,28,0.44,0,DoS,Russia,China,0.742,142,0
64.148.90.45,173.3.31.234,32966,7156,TCP,4024,687,649,35777,24263,16,27,0.26,25,0.94,0,Normal,Russia,USA,0.551,143,0
45.101.60.255,127.3.93.226,5713,6261,ICMP,6096,155,1100,33044,7717,36,1,0.21,5,0.77,0,Normal,UK,India,0.982,144,0
192.236.38.29,63.150.104.235,3021,7961,ICMP,9737,400,1219,8087,29271,23,27,0.27,33,0.42,0,Normal,Russia,China,0.431,145,0
18.126.183.143,164.106.182.180,1293,4986,ICMP,8388,774,713,22205,35895,28,13,0.83,17,0.61,0,DoS,UK,Germany,0.298,146,0
7.148.244.236,57.130.246.18,2424,2585,TCP,9424,288,1019,40310,13425,2,22,0.06,12,0.02,0,Ransomware,USA,Germany,0.796,147,0
168.228.45.142,75.23.52.132,33765,6428,UDP,6164,697,323,2280,25124,9,27,0.27,26,0.09,1,Normal,China,USA,0.542,148,0
178.195.18.37,61.200.33.113,43490,2463,ICMP,5284,900,172,14232,18233,7,1,0.15,46,0.43,0,Normal,India,China,0.792,149,1
206.75.124.133,126.125.193.240,50947,56,TCP,6096,144,436,14634,14271,15,28,0.28,45,0.48,0,Normal,USA,Russia,0.267,150,0
73.236.99.215,238.161.81.82,63225,7169,ICMP,3850,88,1154,40640,38491,17,24,0.67,3,0.84,0,Normal,Russia,Russia,0.181,151,1
35.214.52.3,235.68.182.114,30437,4171,ICMP,3135,394,362,1482,19658,7,4,0.81,9,0.73,0,Normal,Germany,Russia,0.432,152,0
213.123.4.211,133.169.210.34,37149,395,TCP,6887,223,659,3778,12546,20,16,0.36,1,0.63,0,Normal,Russia,USA,0.755,153,0
106.143.152.202,74.111.196.76,4777,4485,UDP,8961,602,411,31914,20064,5,8,0.99,9,0.81,1,Normal,UK,Russia,0.696,154,0
213.81.33.191,16.212.196.66,14748,1872,TCP,2250,5,272,3127,3496,4,6,0.17,31,0.13,1,Ransomware,Russia,India,0.126,155,0
61.110.175.232,216.26.49.21,54438,6532,UDP,9399,934,706,26350,5746,38,4,0.37,1,0.17,1,Normal,UK,UK,0.384,156,0
39.32.88.43,200.143.63.132,64815,3816,UDP,7926,527,1017,39403,33714,47,29,0.6,49,0.2,1,Botnet,Russia,India,0.944,157,0
220.179.65.187,113.67.232.39,51020,2576,UDP,8051,177,626,13517,24676,10,10,0.33,15,0.97,0,Normal,Russia,China,0.72,158,0
210.252.122.143,188.158.2.214,7656,7331,UDP,3827,975,981,2495,9694,7,13,0.03,17,0.05,0,Ransomware,Germany,Russia,0.697,159,0
105.2.172.53,196.136.137.39,46569,64,ICMP,9203,861,438,16067,30839,8,19,0.69,2,0.06,0,Ransomware,Germany,China,0.736,160,0
238.42.12.170,184.217.38.108,59144,2924,ICMP,138,941,620,48575,24195,11,2,0.34,16,0,0,Normal,USA,Germany,0.517,161,0
77.230.100.47,211.110.203.239,42494,3311,UDP,544,793,873,45724,45644,11,7,0.64,7,0.32,1,Normal,USA,USA,0.654,162,0
238.85.160.208,148.250.131.226,17693,1107,ICMP,8251,931,285,39116,49124,40,6,0.86,10,0.45,0,Normal,UK,Germany,0.99,163,0
6.23.184.92,76.252.134.101,11626,7801,ICMP,9846,193,709,47981,15142,45,21,0.22,16,0.37,0,Normal,China,USA,0.781,164,0
3.168.169.135,47.157.41.22,22102,1286,UDP,4044,494,1285,48480,8692,28,16,0.93,19,0.93,0,Normal,China,UK,0.263,165,0
50.109.33.166,136.168.235.228,25565,3729,TCP,2429,530,889,5648,20904,30,24,0.24,11,0.2,1,DoS,UK,Russia,0.149,166,0
20.247.147.166,44.96.100.107,16697,2715,UDP,9461,838,1082,24479,24691,5,6,0.37,13,0.45,0,Normal,China,UK,0.3,167,0
51.132.183.26,32.118.253.224,51142,7700,TCP,954,533,1327,4697,20581,4,16,0.49,43,0.48,0,Normal,UK,China,0.805,168,0
14.216.109.6,49.97.141.249,30941,3998,TCP,9996,837,785,25747,18317,48,1,0.62,37,0.7,0,Normal,Russia,Russia,0.176,169,0
140.109.38.227,13.154.251.186,37573,4427,TCP,2535,803,913,16859,5539,49,12,0.02,12,0.04,1,Normal,Russia,USA,0.366,170,0
116.59.57.138,241.145.64.99,21023,5265,ICMP,2898,722,755,27324,25092,39,20,0.09,15,0.14,0,Normal,China,China,0.729,171,0
30.139.118.236,202.137.2.7,56317,569,ICMP,345,742,352,19542,17076,43,26,0.48,18,0.25,0,Normal,Russia,Russia,0.703,172,0
19.239.222.190,91.56.20.132,60034,6200,ICMP,7155,224,1086,43257,27230,46,7,0.26,49,0.05,0,Normal,UK,India,0.829,173,0
113.94.134.26,65.85.105.206,48996,512,TCP,9256,847,977,2388,18501,23,18,0.62,41,0.2,0,Normal,USA,Russia,0.933,174,0
161.58.21.230,85.145.40.144,5817,5546,ICMP,2388,498,1206,37338,44184,6,13,0.93,25,0.31,0,Normal,Germany,USA,0.472,175,0
90.83.36.13,124.48.66.242,19959,7223,UDP,9601,513,1385,24032,2670,17,22,0.5,44,0.83,0,Normal,USA,China,0.755,176,0
112.213.108.10,67.198.241.100,54332,3122,UDP,1652,574,689,34798,5928,14,5,0.86,36,0.42,1,Normal,China,India,0.75,177,1
216.36.200.75,103.197.172.89,42372,611,UDP,2495,842,799,11202,3914,45,12,0.87,17,0.01,0,Normal,UK,UK,0.724,178,0
164.66.36.219,242.92.103.119,10822,7715,TCP,4455,853,85,24458,45262,35,15,0.22,43,0.86,0,Normal,Russia,USA,0.151,179,0
202.153.181.245,18.127.33.91,19601,7497,ICMP,5377,454,996,25752,14612,41,25,0.81,9,0.3,0,DDoS,USA,China,0.478,180,1
49.187.14.68,228.186.182.11,2310,4233,ICMP,5863,951,1275,26745,2588,5,15,0.89,45,0.66,0,Normal,Russia,India,0.477,181,0
165.33.235.238,183.202.10.230,2306,870,ICMP,2589,115,124,3749,7251,21,19,0.97,46,0.85,0,Normal,Russia,India,0.461,182,0
194.105.38.126,109.140.137.118,36739,1428,UDP,6618,923,856,45910,23503,33,27,0.41,23,0.11,0,Normal,China,China,0.93,183,0
154.175.1.1,67.177.250.77,55488,5297,TCP,3324,710,753,35036,33016,25,19,0.45,42,0.71,0,Normal,Germany,Germany,0.832,184,0
204.231.175.140,248.207.154.86,47432,1331,TCP,3079,871,111,153,44386,29,5,0.21,17,0.35,0,Normal,Germany,China,0.54,185,1
26.134.135.53,26.59.39.38,21101,5745,UDP,7836,582,680,47067,25786,15,15,0.93,18,0.94,0,Botnet,UK,China,0.453,186,0
